,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
10,Coverage/Quad,User Created Features,12,4437,"POLYGON Z ((289633.6778380759 5130287.481067544 0, 289638.674792211 5130287.306570061 0, 289638.325797244 5130277.31266179 0, 289633.3288431089 5130277.487159275 0, 289633.6778380759 5130287.481067544 0))",0.9023595093524593,0.5873011037162288,0.5649514213745952,0.24862453531598513,0.12848584243689629
11,Coverage/Quad,User Created Features,15,4443,"POLYGON Z ((289583.3593017579 5130279.232134109 0, 289588.356255893 5130279.057636626 0, 289588.007260926 5130269.063728356 0, 289583.0103067909 5130269.238225839 0, 289583.3593017579 5130279.232134109 0))",47.17604617604618,0.45987543442453105,0.4274522343912383,0.0030627871362940277,1.0206935226777516
12,Coverage/Quad,User Created Features,16,4443,"POLYGON Z ((289588.356255893 5130279.057636626 0, 289593.3532100281 5130278.883139142 0, 289593.0042150611 5130268.889230872 0, 289588.007260926 5130269.063728356 0, 289588.356255893 5130279.057636626 0))",18.364785172704295,0.4615507478607575,0.4462962088664369,0.022222222222222223,0.2861695942302806
13,Coverage/Quad,User Created Features,17,4437,"POLYGON Z ((289593.3532100281 5130278.883139142 0, 289598.3501641632 5130278.708641659 0, 289598.0011691962 5130268.714733388 0, 289593.0042150611 5130268.889230872 0, 289593.3532100281 5130278.883139142 0))",0.8831098713218752,0.5684385977538378,0.5328646356433434,0.359038837664152,0.11334567722787824
14,Coverage/Quad,User Created Features,18,4444,"POLYGON Z ((289598.3501641632 5130278.708641659 0, 289603.3471182983 5130278.534144175 0, 289602.9981233313 5130268.540235905 0, 289598.0011691962 5130268.714733388 0, 289598.3501641632 5130278.708641659 0))",0.9630743698786433,0.7667506636051165,0.7999474642028461,0.25688073394495414,0.12165168152945297
15,Coverage/Quad,User Created Features,19,4443,"POLYGON Z ((289603.3471182983 5130278.534144175 0, 289608.3440724334 5130278.359646692 0, 289607.9950774664 5130268.365738422 0, 289602.9981233313 5130268.540235905 0, 289603.3471182983 5130278.534144175 0))",0.9697043733203029,0.7721458067977256,0.7909658817876021,0.37782204515272244,0.12807260475669188
16,Coverage/Quad,User Created Features,20,4437,"POLYGON Z ((289608.3440724334 5130278.359646692 0, 289613.3410265685 5130278.185149208 0, 289612.9920316015 5130268.191240938 0, 289607.9950774664 5130268.365738422 0, 289608.3440724334 5130278.359646692 0))",0.9656574785359241,0.8237082345435119,0.8463726884779517,0.3681298413869421,0.09699189349168912
17,Coverage/Quad,User Created Features,21,4445,"POLYGON Z ((289613.3410265685 5130278.185149208 0, 289618.3379807036 5130278.010651724 0, 289617.9889857366 5130268.016743454 0, 289612.9920316015 5130268.191240938 0, 289613.3410265685 5130278.185149208 0))",0.9646358222629409,0.7549703015995125,0.7569788862122715,0.41796875,0.1028174655103662
18,Coverage/Quad,User Created Features,22,4444,"POLYGON Z ((289618.3379807036 5130278.010651724 0, 289623.3349348387 5130277.836154241 0, 289622.9859398717 5130267.842245971 0, 289617.9889857366 5130268.016743454 0, 289618.3379807036 5130278.010651724 0))",0.948528386106849,0.7931542668838587,0.8070608950263127,0.43732953871694535,0.07855843078591834
19,Coverage/Quad,User Created Features,23,4441,"POLYGON Z ((289623.3349348387 5130277.836154241 0, 289628.3318889738 5130277.661656758 0, 289627.9828940068 5130267.667748488 0, 289622.9859398717 5130267.842245971 0, 289623.3349348387 5130277.836154241 0))",0.9541666666666667,0.8163058592385225,0.8381034981208442,0.42959746116585934,0.09274633917446184
20,Coverage/Quad,User Created Features,24,4446,"POLYGON Z ((289628.3318889738 5130277.661656758 0, 289633.3288431089 5130277.487159275 0, 289632.9798481419 5130267.493251004 0, 289627.9828940068 5130267.667748488 0, 289628.3318889738 5130277.661656758 0))",0.9799041944152355,0.8549329053170532,0.8789650049060487,0.38879645036051025,0.08033279040066568
21,Coverage/Quad,User Created Features,25,4440,"POLYGON Z ((289633.3288431089 5130277.487159275 0, 289638.325797244 5130277.31266179 0, 289637.976802277 5130267.31875352 0, 289632.9798481419 5130267.493251004 0, 289633.3288431089 5130277.487159275 0))",0.9820426487093153,0.8314732437774963,0.8595317814254453,0.3551296505073281,0.10178013743694067
22,Coverage/Quad,User Created Features,28,4441,"POLYGON Z ((289583.0103067909 5130269.238225839 0, 289588.007260926 5130269.063728356 0, 289587.658265959 5130259.069820086 0, 289582.6613118239 5130259.244317569 0, 289583.0103067909 5130269.238225839 0))",0.706400621922778,0.45948845220954265,0.45275612947266625,0.33028679483138984,0.04905161321702031
