,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
24,Coverage/Quad,User Created Features - Coverage/Quad,25,3315,"POLYGON Z ((289732.854758071 5130261.199393493 1190.29736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289736.7166549991 5130252.345142983 1184.341064453125, 289732.402575409 5130252.571234314 1188.164672851563, 289732.854758071 5130261.199393493 1190.29736328125))",30367.0,30182.075716440424,30205.0,29817.0,114.89077506319843
25,Coverage/Quad,User Created Features - Coverage/Quad,26,3315,"POLYGON Z ((289737.1688376612 5130260.973302164 1189.3173828125, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.0307345893 5130252.119051653 1179.954223632813, 289736.7166549991 5130252.345142983 1184.341064453125, 289737.1688376612 5130260.973302164 1189.3173828125))",30295.0,29924.87149321267,29899.0,29668.0,132.46250302529037
26,Coverage/Quad,User Created Features - Coverage/Quad,27,3317,"POLYGON Z ((289741.4829172512 5130260.747210834 1182.112182617188, 289745.7969968414 5130260.521119501 1180.198364257813, 289745.3448141793 5130251.892960324 1179.2587890625, 289741.0307345893 5130252.119051653 1179.954223632813, 289741.4829172512 5130260.747210834 1182.112182617188))",30411.0,30275.919807054568,30291.0,30046.0,87.80167285426509
27,Coverage/Quad,User Created Features - Coverage/Quad,28,3316,"POLYGON Z ((289706.5180978682 5130253.927782301 1179.753295898438, 289710.8321774584 5130253.701690969 1184.404052734375, 289710.3799947964 5130245.073531789 1183.480834960938, 289706.0659152063 5130245.299623118 1178.78759765625, 289706.5180978682 5130253.927782301 1179.753295898438))",30520.0,30163.603739445116,30237.5,29604.0,258.9094760750499
28,Coverage/Quad,User Created Features - Coverage/Quad,29,3319,"POLYGON Z ((289710.8321774584 5130253.701690969 1184.404052734375, 289715.1462570485 5130253.475599638 1183.762939453125, 289714.6940743866 5130244.847440458 1188.505493164063, 289710.3799947964 5130245.073531789 1183.480834960938, 289710.8321774584 5130253.701690969 1184.404052734375))",30555.0,30043.443808376018,30039.0,29496.0,322.63231566110466
29,Coverage/Quad,User Created Features - Coverage/Quad,30,3313,"POLYGON Z ((289715.1462570485 5130253.475599638 1183.762939453125, 289719.4603366386 5130253.249508308 1180.119750976563, 289719.0081539767 5130244.621349127 1179.1162109375, 289714.6940743866 5130244.847440458 1188.505493164063, 289715.1462570485 5130253.475599638 1183.762939453125))",30544.0,30203.384545728946,30293.0,29602.0,276.5211268994014
30,Coverage/Quad,User Created Features - Coverage/Quad,31,3319,"POLYGON Z ((289719.4603366386 5130253.249508308 1180.119750976563, 289723.7744162287 5130253.023416977 1180.475708007813, 289723.3222335668 5130244.395257796 1179.3603515625, 289719.0081539767 5130244.621349127 1179.1162109375, 289719.4603366386 5130253.249508308 1180.119750976563))",30520.0,30054.71919252787,30050.0,29555.0,314.112890839351
31,Coverage/Quad,User Created Features - Coverage/Quad,32,3320,"POLYGON Z ((289723.7744162287 5130253.023416977 1180.475708007813, 289728.088495819 5130252.797325644 1185.766845703125, 289727.6363131569 5130244.169166463 1179.004638671875, 289723.3222335668 5130244.395257796 1179.3603515625, 289723.7744162287 5130253.023416977 1180.475708007813))",30518.0,30127.026506024096,30152.5,29615.0,267.7681358911764
32,Coverage/Quad,User Created Features - Coverage/Quad,33,3310,"POLYGON Z ((289728.088495819 5130252.797325644 1185.766845703125, 289732.402575409 5130252.571234314 1188.164672851563, 289731.9503927472 5130243.943075135 1179.171020507813, 289727.6363131569 5130244.169166463 1179.004638671875, 289728.088495819 5130252.797325644 1185.766845703125))",30413.0,29868.79758308157,29786.5,29471.0,268.03669563259217
33,Coverage/Quad,User Created Features - Coverage/Quad,34,3316,"POLYGON Z ((289732.402575409 5130252.571234314 1188.164672851563, 289736.7166549991 5130252.345142983 1184.341064453125, 289736.2644723373 5130243.716983804 1179.340942382813, 289731.9503927472 5130243.943075135 1179.171020507813, 289732.402575409 5130252.571234314 1188.164672851563))",30435.0,30208.484318455972,30240.0,29725.0,181.43742851404733
34,Coverage/Quad,User Created Features - Coverage/Quad,35,3319,"POLYGON Z ((289736.7166549991 5130252.345142983 1184.341064453125, 289741.0307345893 5130252.119051653 1179.954223632813, 289740.5785519274 5130243.490892474 1184.7529296875, 289736.2644723373 5130243.716983804 1179.340942382813, 289736.7166549991 5130252.345142983 1184.341064453125))",30369.0,29866.702319975895,29786.0,29539.0,229.24082489288512
