,LAYER,MAP_NAME,NAME,count,geometry,max,mean,median,min,std
11,Coverage/Quad,User Created Features - Coverage/Quad,12,3320,"POLYGON Z ((289716.0506223724 5130270.731917999 1181.8935546875, 289720.3647019625 5130270.505826668 1181.731323242188, 289719.9125193006 5130261.877667488 1180.973754882813, 289715.5984397105 5130262.103758818 1186.710693359375, 289716.0506223724 5130270.731917999 1181.8935546875))",362.9624328613281,360.76185981107045,360.1540832519531,359.8764953613281,0.9830739757129585
12,Coverage/Quad,User Created Features - Coverage/Quad,13,3315,"POLYGON Z ((289720.3647019625 5130270.505826668 1181.731323242188, 289724.6787815526 5130270.279735336 1182.038818359375, 289724.2265988907 5130261.651576158 1181.199584960938, 289719.9125193006 5130261.877667488 1180.973754882813, 289720.3647019625 5130270.505826668 1181.731323242188))",363.272216796875,361.68544457897343,362.2129211425781,359.92596435546875,1.1986917009091245
13,Coverage/Quad,User Created Features - Coverage/Quad,14,3312,"POLYGON Z ((289724.6787815526 5130270.279735336 1182.038818359375, 289728.9928611428 5130270.053644007 1186.759765625, 289728.5406784808 5130261.425484825 1189.457153320313, 289724.2265988907 5130261.651576158 1181.199584960938, 289724.6787815526 5130270.279735336 1182.038818359375))",363.341064453125,361.52610642437776,362.04127502441406,359.92742919921875,1.2247350774356658
14,Coverage/Quad,User Created Features - Coverage/Quad,15,3317,"POLYGON Z ((289728.9928611428 5130270.053644007 1186.759765625, 289733.3069407329 5130269.827552675 1181.736206054688, 289732.854758071 5130261.199393493 1190.29736328125, 289728.5406784808 5130261.425484825 1189.457153320313, 289728.9928611428 5130270.053644007 1186.759765625))",363.36968994140625,361.83817652603716,362.35467529296875,359.9803466796875,1.113614334458818
15,Coverage/Quad,User Created Features - Coverage/Quad,16,3315,"POLYGON Z ((289733.3069407329 5130269.827552675 1181.736206054688, 289737.6210203231 5130269.601461344 1190.54736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289732.854758071 5130261.199393493 1190.29736328125, 289733.3069407329 5130269.827552675 1181.736206054688))",363.01422119140625,361.17901904996523,360.2807922363281,359.9133605957031,1.1864642444321016
16,Coverage/Quad,User Created Features - Coverage/Quad,17,3315,"POLYGON Z ((289737.6210203231 5130269.601461344 1190.54736328125, 289741.9350999132 5130269.375370013 1181.736450195313, 289741.4829172512 5130260.747210834 1182.112182617188, 289737.1688376612 5130260.973302164 1189.3173828125, 289737.6210203231 5130269.601461344 1190.54736328125))",363.25018310546875,361.20006457022413,360.5043640136719,359.345947265625,1.1928214483183985
17,Coverage/Quad,User Created Features - Coverage/Quad,18,3322,"POLYGON Z ((289741.9350999132 5130269.375370013 1181.736450195313, 289746.2491795033 5130269.149278684 1180.935302734375, 289745.7969968414 5130260.521119501 1180.198364257813, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.9350999132 5130269.375370013 1181.736450195313))",363.1557922363281,360.5075370885032,360.0231475830078,359.72686767578125,0.9847426828493253
18,Coverage/Quad,User Created Features - Coverage/Quad,19,3313,"POLYGON Z ((289706.9702805302 5130262.555941478 1180.68359375, 289711.2843601204 5130262.32985015 1185.06494140625, 289710.8321774584 5130253.701690969 1184.404052734375, 289706.5180978682 5130253.927782301 1179.753295898438, 289706.9702805302 5130262.555941478 1180.68359375))",362.16424560546875,360.17599455985714,359.8490905761719,359.59619140625,0.7378590148452314
19,Coverage/Quad,User Created Features - Coverage/Quad,20,3313,"POLYGON Z ((289711.2843601204 5130262.32985015 1185.06494140625, 289715.5984397105 5130262.103758818 1186.710693359375, 289715.1462570485 5130253.475599638 1183.762939453125, 289710.8321774584 5130253.701690969 1184.404052734375, 289711.2843601204 5130262.32985015 1185.06494140625))",362.9928283691406,361.3349896127855,361.72149658203125,359.7276916503906,1.1766145219439132
20,Coverage/Quad,User Created Features - Coverage/Quad,21,3317,"POLYGON Z ((289715.5984397105 5130262.103758818 1186.710693359375, 289719.9125193006 5130261.877667488 1180.973754882813, 289719.4603366386 5130253.249508308 1180.119750976563, 289715.1462570485 5130253.475599638 1183.762939453125, 289715.5984397105 5130262.103758818 1186.710693359375))",362.704345703125,360.49785634484465,359.9398498535156,359.64166259765625,0.9538998162935657
21,Coverage/Quad,User Created Features - Coverage/Quad,22,3313,"POLYGON Z ((289719.9125193006 5130261.877667488 1180.973754882813, 289724.2265988907 5130261.651576158 1181.199584960938, 289723.7744162287 5130253.023416977 1180.475708007813, 289719.4603366386 5130253.249508308 1180.119750976563, 289719.9125193006 5130261.877667488 1180.973754882813))",363.1382141113281,361.1017058580043,360.8587951660156,359.7099914550781,1.2571871507446344
22,Coverage/Quad,User Created Features - Coverage/Quad,23,3315,"POLYGON Z ((289724.2265988907 5130261.651576158 1181.199584960938, 289728.5406784808 5130261.425484825 1189.457153320313, 289728.088495819 5130252.797325644 1185.766845703125, 289723.7744162287 5130253.023416977 1180.475708007813, 289724.2265988907 5130261.651576158 1181.199584960938))",363.06390380859375,361.16401515402583,361.56134033203125,359.6273498535156,1.2056384784952054
23,Coverage/Quad,User Created Features - Coverage/Quad,24,3322,"POLYGON Z ((289728.5406784808 5130261.425484825 1189.457153320313, 289732.854758071 5130261.199393493 1190.29736328125, 289732.402575409 5130252.571234314 1188.164672851563, 289728.088495819 5130252.797325644 1185.766845703125, 289728.5406784808 5130261.425484825 1189.457153320313))",363.0955810546875,361.2225338397867,361.51666259765625,359.6640930175781,1.2367415763462217
24,Coverage/Quad,User Created Features - Coverage/Quad,25,3315,"POLYGON Z ((289732.854758071 5130261.199393493 1190.29736328125, 289737.1688376612 5130260.973302164 1189.3173828125, 289736.7166549991 5130252.345142983 1184.341064453125, 289732.402575409 5130252.571234314 1188.164672851563, 289732.854758071 5130261.199393493 1190.29736328125))",363.0771179199219,361.058742093968,360.8863220214844,359.662841796875,1.2315767972886036
25,Coverage/Quad,User Created Features - Coverage/Quad,26,3315,"POLYGON Z ((289737.1688376612 5130260.973302164 1189.3173828125, 289741.4829172512 5130260.747210834 1182.112182617188, 289741.0307345893 5130252.119051653 1179.954223632813, 289736.7166549991 5130252.345142983 1184.341064453125, 289737.1688376612 5130260.973302164 1189.3173828125))",362.6170959472656,360.91797222062655,359.9659118652344,359.5719299316406,1.2152369055597287
26,Coverage/Quad,User Created Features - Coverage/Quad,27,3317,"POLYGON Z ((289741.4829172512 5130260.747210834 1182.112182617188, 289745.7969968414 5130260.521119501 1180.198364257813, 289745.3448141793 5130251.892960324 1179.2587890625, 289741.0307345893 5130252.119051653 1179.954223632813, 289741.4829172512 5130260.747210834 1182.112182617188))",362.48321533203125,360.0282673644559,359.7385559082031,359.20855712890625,0.7440301752521693
27,Coverage/Quad,User Created Features - Coverage/Quad,28,3316,"POLYGON Z ((289706.5180978682 5130253.927782301 1179.753295898438, 289710.8321774584 5130253.701690969 1184.404052734375, 289710.3799947964 5130245.073531789 1183.480834960938, 289706.0659152063 5130245.299623118 1178.78759765625, 289706.5180978682 5130253.927782301 1179.753295898438))",362.6017761230469,360.0346663213898,359.56932067871094,359.285400390625,0.9206423637550281
